SMILES,AUC(mg*h/L),t1/2(h),MRT(h),Vd(L/kg),CL(L/h),1A2i Label,2C9i Label,3A4i Label,2C19i Label,2D6i Label,HLM Label,hPPB Label,rPPB Label,3A4s Label,2D6s Label,1A2s Label,2C9s Label,2C19s Label,logD Label,logP Label,Caco2_r (10-6cm/s),HLM Label,RLM Label
C[C@@](O)(c1ccc(Nc2nn(cc2C(=O)N)[C@H]3CC[C@H](C[C@@H]3C#N)N4CCC4)cc1)C(F)(F)F,0.225364042,12.93810161,1.134209964,5.857157371,22.1863255,1,0,0,0,1,0,85.13261111,88.09109524,1,1,1,0,1,3.0669,2.112362969,4.195164553,0,0
O=C1Nc2cnc3[nH]ccc3c2N1C4CCOCC4,0.240799021,6.259991463,0.85809313,2.942989544,20.76420403,0,0,0,0,0,0,84.71133333,80.15142857,1,1,1,0,0,2.405572767,1.663305566,7.283520451,0,0
C[C@H](N)[C@H]1CCN(C1)c2c(C)c3N(C4CC4)C(=O)N(N)C(=O)c3cc2F,0.207596355,4.190264575,0.810595015,2.632884763,24.08520125,0,0,0,0,0,1,44.07469444,86.73142857,0,0,0,0,0,2.112252381,2.366203716,4.603660205,1,1
Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,0.235793819,5.872534197,0.962060392,3.049815038,21.20496633,1,1,1,1,0,1,81.67525,77.05285714,0,0,1,0,0,2.144333333,3.363027794,5.0332736,1,0
CN(C)[C@H]1CC[C@@H]([C@H](C1)C#N)n2cc(C(=O)N)c(Nc3ccc(Cl)cc3)n2,0.25722257,2.202958134,0.338503998,2.331148828,19.43841862,0,0,0,0,1,1,76.79211111,57.51192857,1,0,1,0,1,2.6831875,3.144188893,6.35051325,0,0
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,0.201186064,3.69213659,0.859262455,2.736746016,24.85261604,0,0,0,0,0,1,79.78052778,75.04697619,1,0,0,0,0,2.188475714,4.50089352,7.732511499,1,1
CC1CC(=O)c2c(O)c3c(O)cc(O)c(c4c(O)cc(O)c5c(O)c6C(=O)CC(C)Oc6cc45)c3cc2O1,0.213676571,5.242078566,0.836837549,3.099991495,23.3998514,0,0,0,1,0,1,61.27766667,87.65317566,0,0,1,0,1,2.708183333,1.386381459,4.893064234,1,0
Nc1ccc(cc1NC(=O)c2cccnc2)n3ccnc3,0.235267188,8.710259343,0.982771969,7.667629756,21.25243236,1,1,1,1,0,0,73.09833333,85.30395238,1,0,1,1,0,2.335095238,1.444694436,8.377588666,1,1
CC1=CN([C@H]2CO[C@@H](COCOC(=O)C(C)(C)C)O2)C(=O)NC1=O,0.215406814,4.708923674,0.8202874,2.045511543,23.21189337,0,0,0,0,0,1,70.1775,65.1127619,1,1,1,0,1,2.60655,1.14425926,5.723445464,1,0
OC(=O)C[C@H](CN1CC[C@@H](CCc2ccc3CCCNc3n2)C1)c4cccc(c4)N5CCOCC5,0.221881293,3.701432521,0.742378887,1.714549433,22.53457215,0,0,0,0,0,1,63.35805556,76.32064286,1,0,0,0,0,2.1887,1.411499994,7.075162279,1,0
Fc1cnc2[nH]cc(c3ncc(F)c(N[C@H]4C5CCC(CC5)[C@@H]4CN6OC(=O)NC6=O)n3)c2c1,0.22314198,9.056685326,0.927209503,4.376263392,22.40725837,1,1,0,1,0,1,89.93061111,91.00633333,0,0,0,0,0,2.18995,2.045425953,4.494574148,1,1
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.212401058,2.41680458,0.574326491,2.193556013,23.54037235,0,0,0,1,0,1,72.06958333,75.57773061,1,0,1,1,1,2.1831125,1.867933363,3.96996788,1,0
CN([C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CC6)c45)C(=O)\C=C\c7occc7,0.228776789,3.157998168,0.592281882,2.506535953,21.85536405,0,1,0,0,0,0,71.97233333,79.14328571,0,0,0,0,0,2.006233333,2.024999993,5.686363003,1,1
Oc1cccc(c1)N2C(=O)c3ccc4C(=O)N(C(=O)c5ccc(C2=O)c3c45)c6cccc(O)c6,0.275140973,6.719286997,0.800495139,3.033867913,18.17250246,0,1,1,1,0,0,87.33772222,75.26354762,1,0,1,0,0,2.0441773,0.992768504,5.530721913,1,0
Cn1c2CCN(C(C3CC3)c2nc1C(F)(F)F)C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F,0.253375781,3.120554823,0.749830577,1.820761086,19.73353558,0,0,1,0,0,1,86.20963492,84.93269048,0,0,1,0,0,2.009809091,3.216861119,8.091768586,1,0
COc1ccc2c(c1)c(CC(=O)NS(=O)(=O)c3ccc4ccccc4c3)cn2C(=O)c5ccc(Cl)cc5,0.242250018,7.429569994,1.052988046,4.248434014,20.63983331,1,0,0,1,0,1,81.21311111,96.60971429,0,0,1,1,1,2.866203333,3.068333351,7.659532231,1,0
CC(C)(C)OC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC3CCC3)C(=O)C(=O)N)C2(Cl)Cl)C(C)(C)C,0.196981679,2.602034062,0.459371822,1.542844482,25.38307125,0,0,0,1,0,1,65.82483333,80.69632143,1,0,0,0,0,2.671201667,0.840788882,3.716969218,1,0
CCCC1N(N=Cc2ccccc12)C(=O)\C=C\c3cc(Cc4cnc(N)nc4N)cc(OCC)c3OCC,0.222131134,4.007872628,0.920357948,1.90444952,22.50922642,0,0,0,0,0,1,71.21611111,75.71840873,0,0,0,0,0,2.22422,1.767314816,3.04896447,1,1
CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1,0.293440997,3.108682441,0.563602713,1.512139079,17.03920056,1,1,1,1,0,1,89.8925,65.6975,0,0,1,0,0,3.05335,1.96044444,1.37407935,1,0
C[C@H](NP(=O)(N[C@@H](C)C(=O)OCC(C)(C)C)OC[C@H]1O[C@H](C=C1)N2C=C(C)C(=O)NC2=O)C(=O)OCC(C)(C)C,0.238427926,5.851311659,1.535340894,2.561429228,20.97069788,0,0,0,0,0,1,80.35633333,59.61066667,0,0,1,0,0,2.36549808,0.964214829,2.582156309,1,0
FC(F)(F)CNC(=O)[C@@H]1CC[C@H](CC1)c2nnn3cnc4[nH]ccc4c23,0.233962393,5.921757136,0.974366721,1.977625823,21.370956,1,0,0,0,0,0,83.00303535,88.63825397,0,0,1,0,0,2.977900833,2.331587058,7.388407866,0,0
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CO)c4ccc(Cl)cc4,0.222152553,8.155438367,1.44107852,5.625146731,22.50705621,1,1,0,1,0,1,88.46905556,74.80192857,1,0,1,0,1,2.4593,2.924861137,5.147439555,1,0
NC(=O)c1cn(nc1Nc2ccccc2)[C@H]3COCC[C@@H]3C#N,0.230499084,12.7862791,1.009075402,4.975275563,21.69206015,0,1,0,1,0,1,93.80416667,76.45990476,0,0,1,0,0,2.792483333,1.510407419,6.450266606,1,1
CC1CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccc(cc4)C(F)(F)F)n3,0.192539986,5.703224488,1.236119926,2.776376382,25.96863184,1,0,0,0,0,1,48.77233333,85.44252381,0,1,0,0,1,3.039366667,2.333962984,5.01418219,1,0
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)S(=O)(=O)c4ccc5OCOc5c4,0.231080003,5.201549226,1.148187557,3.050033833,21.63752781,0,1,0,1,0,1,78.68154167,75.09969796,0,0,0,0,0,2.039484992,2.430000025,1.950180228,1,0
Cc1sc2nc(CN3CCCC3)nc(N4CCC(CC4)C(=O)N)c2c1C,0.273159141,5.301006892,0.699989603,2.199009978,18.30434806,1,1,1,1,0,0,79.94833333,89.40021429,0,0,0,0,0,2.196825,2.621212969,6.999753123,1,0
CC(C)c1nnc(C)n1[C@@H]2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5,0.231389579,3.148284803,0.511372999,1.582382638,21.60857898,0,1,1,1,0,0,90.06912058,58.16738095,1,0,0,1,0,2.2008,3.322212969,9.534630988,0,0
Cc1ncnc2ccc(Nc3nn(cc3C(=O)N)[C@H]4COCC[C@@H]4C#N)cc12,0.206194832,4.178985615,0.902246114,2.399041655,24.24891038,0,0,0,0,0,0,59.44519444,76.22204762,0,1,0,0,0,2.806133333,1.604296312,7.263236558,1,0
Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,0.261323257,7.847598594,0.873580662,3.3793365,19.13339083,0,1,0,1,0,0,89.95986111,88.87790476,0,0,0,0,1,3.16305,2.732944472,6.481592078,1,1
CC1CN(C1)[C@H]2CC[C@@H]([C@H](C2)C#N)n3cc(C(=O)N)c(Nc4ccccc4)n3,0.215907846,4.455821257,1.059970257,1.978723686,23.15802826,0,1,0,1,0,1,94.61833333,79.26528571,1,1,0,0,1,2.4993625,2.16907409,4.878573349,0,0
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@@H]([C@@H](OS(=O)(=O)C(F)(F)F)C2=O)S(=O)(=O)C1(C)C,0.227669596,10.18102968,0.901313763,5.769322343,21.96165008,0,1,0,0,1,0,82.26283333,75.62579762,1,1,1,0,1,3.268475,1.52366665,6.502646286,1,1
CCC1=C(Oc2cc(C)cc(C)c2)N(CC3CCC3)C(=O)NC1=O,0.237571888,8.667565951,1.115301614,3.810006147,21.0462612,1,1,1,0,0,1,87.77683333,84.05018367,1,0,1,0,0,2.77265,2.04389816,9.31087045,1,0
O=C(CC#N)N1CCC[C@H](C1)N2C(=O)Nc3cnc4[nH]ccc4c23,0.231049548,5.267991606,0.884086939,2.078768886,21.64037995,1,1,0,1,0,1,74.775,88.88666667,1,0,0,0,0,2.636716667,2.278185208,5.287484204,1,0
C[C@H](CNC(=O)c1cccnc1)OC(=O)[C@@H]2CCCCN2S(=O)(=O)Cc3ccccc3,0.230897038,2.903473281,0.501805835,1.202947566,21.65467367,1,0,1,0,0,1,89.16,90.17136735,1,0,0,0,0,2.922385446,1.895711635,7.421295473,0,0
Fc1ccc(cc1)S(=O)(=O)NC(=O)c2cccc(n2)C(=O)NS(=O)(=O)c3ccc(F)cc3,0.238666152,6.594754196,1.269584369,5.227248701,20.94976584,0,0,0,1,1,1,96.15986111,83.6792619,1,1,1,0,1,2.071156978,2.226444433,6.213302512,1,0
CCOc1ccc(cc1O)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,0.227670884,6.072775037,0.770968488,2.84509942,21.9615258,0,0,0,0,0,1,88.47164815,88.71739768,1,0,1,0,0,2.746258333,2.18602645,4.754027734,1,0
Oc1cc(O)c2c3C(=O)c4ccccc4C(=O)c3oc2c1,0.289257727,5.19971396,0.626507797,2.924548769,17.28562292,1,0,1,0,0,1,87.18539744,85.62195542,1,0,1,0,1,2.1327,2.489392473,5.913071371,1,0
Clc1ccc(s1)C(=O)NCCS(=O)(=O)Nc2ccc(cc2)N3C=CN=CC3=O,0.237134014,6.385655426,1.147271188,2.183443048,21.08512359,1,0,0,1,0,1,83.88944444,93.77211905,0,0,0,0,0,2.2401605,1.770901862,2.487964355,1,0
C[C@@H]1CN2[C@H]([C@H](C)O1)C3(Cc4cc5c(noc5c(F)c24)N6[C@@H](COC6=O)c7ncnn7C)C(=O)NC(=O)NC3=O,0.235452542,1.780802799,0.428841914,4.452517747,21.23570194,0,0,0,0,0,1,68.0115,86.29157143,0,0,0,0,0,2.592821213,1.441833329,2.636907054,1,0
Cc1c(\C=N\NC(=O)c2ccccc2O)c3ccccn3c1C(=O)c4ccc(F)cc4,0.283153662,3.959023665,0.741065698,3.011536635,17.65825652,0,0,0,0,0,1,73.63344444,77.31522562,1,0,1,0,1,2.4482625,2.342441794,4.097918936,1,0
CC1(C)CC(=C(C(C2=C(O)CC(C)(C)CC2=O)c3occc3)C(=O)C1)O,0.264616406,4.689609145,1.009588061,3.068652149,18.89527593,1,1,1,1,1,1,79.74694444,75.67967109,1,0,1,0,1,3.066033333,2.687534664,9.81851126,1,1
CC(C)COC(=O)CNC(=O)C(CN1CCC(C)(C(C)C1)c2cccc(O)c2)Cc3ccccc3,0.224402695,2.108118042,0.43191882,0.796020048,22.28137234,0,0,0,0,0,0,65.05316667,77.59342857,1,0,0,1,0,2.147211822,3.158844433,5.024135139,1,0
ONC(=O)CC12CC3CC(CC(C3)C1)C2,0.204486267,5.767873023,1.065280089,2.459757388,24.45151978,0,0,0,0,0,1,65.44322222,57.913,0,0,0,0,0,2.094854583,2.762926096,8.826777413,1,0
CC1(C)CN(CCO1)[C@H]2C[C@@]3(C)[C@@H](CC[C@H]4[C@@H]5CC[C@H](C(=O)CO)[C@@]5(C)CC[C@H]34)C[C@@H]2O,0.256878753,4.649284063,1.022704225,1.433342569,19.4644358,1,1,0,1,0,1,93.67338889,70.8932619,1,0,1,0,0,2.394057224,2.51997223,4.464974922,1,1
Cc1cc(C)n(n1)c2cccc(c2)[C@@H](CN3CC[C@@H](CCc4ccc5CCCNc5n4)C3)CC(=O)O,0.213127444,5.719275495,0.971841017,2.209325626,23.46014153,1,1,0,1,0,0,82.26544444,73.45428571,1,0,0,0,0,2.763983333,1.333027786,6.228402115,1,1
Oc1ccc(C=C2SC(=O)N(C2=O)c3ccccc3)cc1O,0.249457671,2.266053364,0.342893372,1.011050901,20.04348068,0,0,0,0,0,1,81.02333333,74.34338095,0,0,0,0,0,2.5854515,2.174000002,4.751203421,1,1
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)OC,0.258310334,4.106541369,0.928777733,1.354319412,19.35656198,1,0,1,1,0,1,91.4695,70.92380952,0,0,1,0,0,2.178107025,0.014777783,5.22711958,1,1
Oc1ccc(cc1)C2=CC(=O)c3c(O)c(O)c(O)c(c3O2)c4cc(ccc4O)C5=CC(=O)c6c(O)cc(O)cc6O5,0.263379887,4.603990694,0.738208519,3.255599134,18.9839857,0,1,1,1,0,1,82.32941667,79.02513104,0,1,1,0,1,2.1163,0.813390731,1.941546051,1,0
CC1=C(O)C(=O)C=C2C1=CC=C3[C@@]2(C)CC[C@@]4(C)[C@@H]5C[C@@](C)(CC[C@]5(C)CC[C@]34C)C(=O)O,0.270891329,1.907516785,0.380988284,1.982541436,18.45758602,1,0,0,0,0,1,78.91166667,72.39278095,0,0,0,0,0,2.24766,2.557820103,7.98044583,1,1
CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)N)NC(=O)OCc3ccccc3,0.235338273,7.508525393,0.833435415,5.789370831,21.24601295,1,1,0,1,0,1,96.0915,75.23619048,0,0,1,0,1,2.388203333,0.886907419,2.538527152,0,1
